"","EO","LO","p","test"
"n","120","333","",""
"Sex = Male (%)"," 64 (53.3) ","184 (55.3) "," 0.798",""
"Race (%)","",""," 0.601",""
"   American Indian or Alaska Native","  0 ( 0.0) ","  3 ( 0.9) ","",""
"   Asian","  5 ( 4.2) "," 15 ( 4.5) ","",""
"   Black or African American"," 11 ( 9.2) "," 19 ( 5.7) ","",""
"   Caucasian"," 99 (82.5) ","282 (84.7) ","",""
"   Other","  5 ( 4.2) "," 14 ( 4.2) ","",""
"PrimaryDiagnosisSite (%)","",""," 0.568",""
"   Colon"," 48 (40.0) ","140 (42.2) ","",""
"   Rectosigmoid Colon"," 46 (38.3) ","110 (33.1) ","",""
"   Rectum"," 26 (21.7) "," 82 (24.7) ","",""
"Tumor Location (%)","",""," 0.008",""
"   Left"," 85 (70.8) ","218 (65.5) ","",""
"   Other"," 12 (10.0) "," 14 ( 4.2) ","",""
"   Right"," 23 (19.2) ","101 (30.3) ","",""
"Tumor Stage (%)","",""," 0.018",""
"   Missing"," 15 (12.5) "," 42 (12.6) ","",""
"   Stage I","  4 ( 3.3) "," 28 ( 8.4) ","",""
"   Stage II"," 18 (15.0) "," 85 (25.5) ","",""
"   Stage III"," 42 (35.0) "," 99 (29.7) ","",""
"   Stage IV"," 41 (34.2) "," 79 (23.7) ","",""
"Histology (%)","",""," 0.889",""
"   Adenocarcinoma with mixed subtypes","  0 ( 0.0) ","  1 ( 0.3) ","",""
"   Adenocarcinoma, NOS","111 (92.5) ","299 (90.1) ","",""
"   Carcinoma","  1 ( 0.8) ","  3 ( 0.9) ","",""
"   Mucinous adenocarcinoma","  8 ( 6.7) "," 28 ( 8.4) ","",""
"   Papillary adenocarcinoma","  0 ( 0.0) ","  1 ( 0.3) ","",""
"MSS Status (%)","",""," 0.375",""
"   Indeterminate","  0 ( 0.0) ","  5 ( 1.5) ","",""
"   Missing"," 92 (76.7) ","267 (80.2) ","",""
"   MSI-H or POLE Positive","  6 ( 5.0) "," 12 ( 3.6) ","",""
"   MSS or POLE Negative"," 22 (18.3) "," 49 (14.7) ","",""
