"sample","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"SL204960",0,0.138157553475957,0.057131171987255,0,0.0425612894365837,0.239609527739645,0,0,0,0,0.0363342234795713,0,0.0237876394355732,0.291095299001773,0.00251008056298499,0.0814648290942388,0,0,0,0.0795153721448341,0.00783301364158328,0
"SL204968",0,0.0751341398838503,0.0139435483883981,0.0543977905657807,0,0.20362567102064,0,0.00890189063383483,0,0,0,0.00107307481748634,0.0218005702720722,0.119795804246085,0.0116816185797452,0.226017071967946,0.0464715761724509,0,0.217157243451711,0,0,0
"SL218346",0,0.0548444916811675,0.0713022361937872,0.100325097523085,0,0.372165096161994,0,0.00372536894222741,0,0,0,0.00543467569824518,0.0823215525332406,0.0667808847749357,0,0,0,0.0186409146703596,0,0.198526372574023,0.00340751165891836,0.022525797588017
"SL218347",0.141211385756135,0.295846392313111,0.0421382847951275,0.0329981528475465,0.010331506631081,0.101133088187945,0,0.0598723775392404,0,0,0.15993983125236,0,0.00122969204348964,0.000183670372831131,0.00770810498028309,0.0520083328580704,0,0.0141924177138008,0,0.0692839246371534,0.00122218964653997,0.0107006484252855
"SL242318",0.195234067918547,0.124962968560057,0.0329897356548212,0,0,0.223814183280444,0,0.080373641877579,0,0,0.0359017181915063,0,0,0.0634333742617991,0,0.127354161204966,0,0.0135727813972733,0,0.0943510933981657,0.00801227425484088,0
"SL242328",0,0.0238186538770145,0.19593301930407,0,0,0.200814831819479,0.0508971940687593,0,0,0,0.0833049069697014,0,0,0.252268176689153,0.0079820823998982,0.0494354765867848,0,0,0,0.13554565828514,0,0
"SL242338",0,0.0670154322129115,0.0568331184514016,0.108959881294307,0,0.0829617571056613,0.0406626225460191,0.108561174234398,0.00277376002749079,0,0,0.100597211973215,0.00720370882589653,0,0.0784456142241594,0.100335496378559,0,0.0330981507006741,0,0.188152080415859,0,0.0243999916094465
"SL242341",0.0559306465463289,0,0.0440619130325025,0.00356316740862255,0.0587725876878697,0.141623259867024,0.00298759310034333,0.00175478190230426,0,0,0.078089834275035,0,0,0.322993398928401,0.0268221044736739,0.188021489440225,0,0,0,0.0753792233376693,0,0
"SL242349",0.0709349522897552,0,0.138784885898216,0,0,0.218139408042949,0.112129684334704,0,0,0,0.0489877516513159,0,0,0.235958311971427,0.0203646967809772,0.0357419252491946,0,0.00363681695543023,0,0.115321566826031,0,0
"SL242361",0.0377835928788842,0,0.115730347117121,0.0174005009671773,0.00296169751325618,0.231467109896753,0.0856228339412013,0,0,0,0.0692398763497645,0,0,0.187184108646965,0.00298575048333088,0.117141487134959,0,0.0010163460014996,0,0.131466349069088,0,0
